,date,sentiment
186,2017/10/15,0.484007867
187,2017/10/14,0.600699984
188,2017/10/13,0.533770165
189,2017/10/12,0.58811354
190,2017/10/11,0.446184267
191,2017/10/10,0.495175302
192,2017/10/9,0.491391819
193,2017/10/8,0.605120519
194,2017/10/7,0.574822325
195,2017/10/6,0.523044624
196,2017/10/5,0.584578349
197,2017/10/4,0.597741366
198,2017/10/3,0.689272861
199,2017/10/2,0.552057758
200,2017/10/1,0.527573387
201,2017/9/30,0.552551351
202,2017/9/29,0.559324785
203,2017/9/28,0.553224551
204,2017/9/27,0.486586729
205,2017/9/26,0.466149273
206,2017/9/25,0.480251631
207,2017/9/24,0.471672188
208,2017/9/23,0.564411504
209,2017/9/22,0.480125611
210,2017/9/21,0.509120518
211,2017/9/20,0.521362319
212,2017/9/19,0.46602014
213,2017/9/18,0.5426647
214,2017/9/17,0.533489797
215,2017/9/16,0.549848671
216,2017/9/15,0.471821438
217,2017/9/14,0.5854498
218,2017/9/13,0.546947892
219,2017/9/12,0.578105198
220,2017/9/11,0.506967214
221,2017/9/10,0.671396001
222,2017/9/9,0.544671151
223,2017/9/8,0.49142193
224,2017/9/7,0.466286538
225,2017/9/6,0.50844954
226,2017/9/5,0.52510921
227,2017/9/4,0.506264632
228,2017/9/3,0.558972612
229,2017/9/2,0.507660216
230,2017/9/1,0.547297757
